id,value
Product_Title.AXE Antip.three_Purchased_Title.Rice Kris,1
Product_Title.AXE Antip.three_Purchased_Title.nan,1
Product_Title.AXE Antip.two_Purchased_Title,
Product_Title.AXE Antip.two_Purchased_Title.AXE Body ,1
Product_Title.AXE Antip.two_Purchased_Title.Angel Sof,1
Product_Title.AXE Antip.two_Purchased_Title.Axe Anti ,1
Product_Title.AXE Antip.two_Purchased_Title.Bananas  ,1
Product_Title.AXE Antip.two_Purchased_Title.Crest Com,1
Product_Title.AXE Antip.two_Purchased_Title.Groganics,1
Product_Title.AXE Antip.two_Purchased_Title.Neosporin,1
Product_Title.AXE Antip.two_Purchased_Title.The Danis,1
Product_Title.AXE Antip.two_Purchased_Title.nan,1
Product_Title.AXE Body ,
Product_Title.AXE Body .one_Purchased_Title,
Product_Title.AXE Body .one_Purchased_Title.AXE Antip,1
Product_Title.AXE Body .one_Purchased_Title.AXE Body ,1
Product_Title.AXE Body .one_Purchased_Title.AXE Deodo,1
Product_Title.AXE Body .one_Purchased_Title.AXE White,1
Product_Title.AXE Body .one_Purchased_Title.Bananas  ,1
Product_Title.AXE Body .one_Purchased_Title.Bounty Se,1
Product_Title.AXE Body .one_Purchased_Title.Gillette ,1
Product_Title.AXE Body .one_Purchased_Title.Glad Zipp,1
Product_Title.AXE Body .one_Purchased_Title.Hass Avoc,1
Product_Title.AXE Body .one_Purchased_Title.Panasonic,1
Product_Title.AXE Body .one_Purchased_Title.RedOne Aq,1
Product_Title.AXE Body .one_Purchased_Title.Starbucks,1
Product_Title.AXE Body .one_Purchased_Title.Thayers A,1
Product_Title.AXE Body .three_Purchased_Title,
Product_Title.AXE Body .three_Purchased_Title.AXE Antip,1
Product_Title.AXE Body .three_Purchased_Title.AXE Deodo,1
Product_Title.AXE Body .three_Purchased_Title.Angel Sof,1
Product_Title.AXE Body .three_Purchased_Title.Aztec Sec,1
Product_Title.AXE Body .three_Purchased_Title.CocaCola ,1
Product_Title.AXE Body .three_Purchased_Title.Coricidin,1
Product_Title.AXE Body .three_Purchased_Title.Crimini B,1
Product_Title.AXE Body .three_Purchased_Title.Diane Boa,1
Product_Title.AXE Body .three_Purchased_Title.Doritos N,1
Product_Title.AXE Body .three_Purchased_Title.Education,1
Product_Title.AXE Body .three_Purchased_Title.Gillette ,1
Product_Title.AXE Body .three_Purchased_Title.Head & Sh,1
Product_Title.AXE Body .three_Purchased_Title.Lime  One,1
Product_Title.AXE Body .three_Purchased_Title.Mandarin ,1
Product_Title.AXE Body .three_Purchased_Title.Pinkalici,1
Product_Title.AXE Body .three_Purchased_Title.Ralph Lau,1
Product_Title.AXE Body .three_Purchased_Title.nan,1
Product_Title.AXE Body .two_Purchased_Title,
Product_Title.AXE Body .two_Purchased_Title.ADFORS Pr,1
Product_Title.AXE Body .two_Purchased_Title.AXE Antip,1
Product_Title.AXE Body .two_Purchased_Title.AXE Body ,1
Product_Title.AXE Body .two_Purchased_Title.AXE Deodo,1
Product_Title.AXE Body .two_Purchased_Title.AXE White,1
Product_Title.AXE Body .two_Purchased_Title.Bananas  ,1
Product_Title.AXE Body .two_Purchased_Title.Crest Com,1
Product_Title.AXE Body .two_Purchased_Title.Degree Me,1
Product_Title.AXE Body .two_Purchased_Title.Dove Dail,1
Product_Title.AXE Body .two_Purchased_Title.Gillette ,1
Product_Title.AXE Body .two_Purchased_Title.Green See,1
Product_Title.AXE Body .two_Purchased_Title.Natures W,1
Product_Title.AXE Body .two_Purchased_Title.Organic G,1
Product_Title.AXE Body .two_Purchased_Title.Purina Be,1
Product_Title.AXE Body .two_Purchased_Title.Purina ON,1
Product_Title.AXE Body .two_Purchased_Title.Qtips Cot,1
Product_Title.AXE Body .two_Purchased_Title.Ruby Mars,1
Product_Title.AXE Body .two_Purchased_Title.San Franc,1
Product_Title.AXE Body .two_Purchased_Title.nan,1
Product_Title.AXE Clean,
Product_Title.AXE Clean.one_Purchased_Title,
Product_Title.AXE Clean.one_Purchased_Title.Amazing G,1
Product_Title.AXE Clean.one_Purchased_Title.Hass Avoc,1
Product_Title.AXE Clean.one_Purchased_Title.Qtips Cot,1
Product_Title.AXE Clean.three_Purchased_Title,
Product_Title.AXE Clean.three_Purchased_Title.AXE 3in1 ,1
Product_Title.AXE Clean.three_Purchased_Title.Amazon Br,1
Product_Title.AXE Clean.three_Purchased_Title.The Autob,1
Product_Title.AXE Clean.two_Purchased_Title,
Product_Title.AXE Clean.two_Purchased_Title.Bananas  ,1
Product_Title.AXE Clean.two_Purchased_Title.Born to R,1
Product_Title.AXE Clean.two_Purchased_Title.Colgate T,1
Product_Title.AXE Deodo,
Product_Title.AXE Deodo.one_Purchased_Title,
Product_Title.AXE Deodo.one_Purchased_Title.AXE Body ,1
Product_Title.AXE Deodo.three_Purchased_Title,
Product_Title.AXE Deodo.three_Purchased_Title.Clorox Di,1
Product_Title.AXE Deodo.three_Purchased_Title.Dove Men ,1
Product_Title.AXE Deodo.three_Purchased_Title.Head and ,1
Product_Title.AXE Deodo.two_Purchased_Title,
Product_Title.AXE Deodo.two_Purchased_Title.CoffeeMat,1
Product_Title.AXE Deodo.two_Purchased_Title.Crest Com,1
Product_Title.AXE Deodo.two_Purchased_Title.Quilted N,1
Product_Title.AXE Dry S,
Product_Title.AXE Dry S.one_Purchased_Title,
Product_Title.AXE Dry S.one_Purchased_Title.A Pocketb,1
Product_Title.AXE Dry S.one_Purchased_Title.AXE Body ,1
Product_Title.AXE Dry S.one_Purchased_Title.The Day t,1
Product_Title.AXE Dry S.three_Purchased_Title,
Product_Title.AXE Dry S.three_Purchased_Title.Dr Bronne,1
Product_Title.AXE Dry S.three_Purchased_Title.Natures W,1
Product_Title.AXE Dry S.three_Purchased_Title.Press Her,1
Product_Title.AXE Dry S.two_Purchased_Title,
Product_Title.AXE Dry S.two_Purchased_Title.Command D,1
Product_Title.AXE Dry S.two_Purchased_Title.Factfulne,1
Product_Title.AXE Dry S.two_Purchased_Title.The Book ,1
Product_Title.AXE Hair ,
Product_Title.AXE Hair .one_Purchased_Title,
Product_Title.AXE Hair .one_Purchased_Title.AXE Messy,1
Product_Title.AXE Hair .one_Purchased_Title.The Essen,1
Product_Title.AXE Hair .three_Purchased_Title,
Product_Title.AXE Hair .three_Purchased_Title.Your Mone,1
Product_Title.AXE Hair .three_Purchased_Title.nan,1
Product_Title.AXE Hair .two_Purchased_Title,
Product_Title.AXE Hair .two_Purchased_Title.Thomas & ,1
Product_Title.AXE Hair .two_Purchased_Title.nan,1
Product_Title.AXE Messy,
Product_Title.AXE Messy.one_Purchased_Title,
Product_Title.AXE Messy.one_Purchased_Title.AXE Natur,1
Product_Title.AXE Messy.one_Purchased_Title.Organic G,1
Product_Title.AXE Messy.one_Purchased_Title.Qtips Cot,1
Product_Title.AXE Messy.three_Purchased_Title,
Product_Title.AXE Messy.three_Purchased_Title.AXE Messy,1
Product_Title.AXE Messy.three_Purchased_Title.Almond Br,1
Product_Title.AXE Messy.three_Purchased_Title.Every Man,1
Product_Title.AXE Messy.three_Purchased_Title.Quaker Ch,1
Product_Title.AXE Messy.two_Purchased_Title,
Product_Title.AXE Messy.two_Purchased_Title.AXE Jacke,1
Product_Title.AXE Messy.two_Purchased_Title.Angel Sof,1
Product_Title.AXE Messy.two_Purchased_Title.Freshburs,1
Product_Title.AXE Messy.two_Purchased_Title.Hass Avoc,1
Product_Title.AXE Natur,
Product_Title.AXE Natur.one_Purchased_Title,
Product_Title.AXE Natur.one_Purchased_Title.Crest 3D ,1
Product_Title.AXE Natur.one_Purchased_Title.Raisin Br,1
Product_Title.AXE Natur.three_Purchased_Title,
Product_Title.AXE Natur.three_Purchased_Title.AXE Messy,1
Product_Title.AXE Natur.three_Purchased_Title.Quaker Oa,1
Product_Title.AXE Natur.two_Purchased_Title,
Product_Title.AXE Natur.two_Purchased_Title.AXE Messy,1
Product_Title.AXE Natur.two_Purchased_Title.AXE Smoot,1
Product_Title.AXE Regim,
Product_Title.AXE Regim.one_Purchased_Title,
Product_Title.AXE Regim.one_Purchased_Title.Raisin Br,1
Product_Title.AXE Regim.three_Purchased_Title,
Product_Title.AXE Regim.three_Purchased_Title.Progresso,1
Product_Title.AXE Regim.two_Purchased_Title,
Product_Title.AXE Regim.two_Purchased_Title.Progresso,1
Product_Title.AXE Shamp,
Product_Title.AXE Shamp.one_Purchased_Title,
Product_Title.AXE Shamp.one_Purchased_Title.Crest Com,1
Product_Title.AXE Shamp.three_Purchased_Title,
Product_Title.AXE Shamp.three_Purchased_Title.Old Spice,1
Product_Title.AXE Shamp.two_Purchased_Title,
Product_Title.AXE Shamp.two_Purchased_Title.AXE Body ,1
Product_Title.AXE Showe,
Product_Title.AXE Showe.one_Purchased_Title,
Product_Title.AXE Showe.one_Purchased_Title.Qtips Cot,1
Product_Title.AXE Showe.three_Purchased_Title,
Product_Title.AXE Showe.three_Purchased_Title.InterDesi,1
Product_Title.AXE Showe.two_Purchased_Title,
Product_Title.AXE Showe.two_Purchased_Title.AXE Body ,1
Product_Title.AXE Smoot,
Product_Title.AXE Smoot.one_Purchased_Title,
Product_Title.AXE Smoot.one_Purchased_Title.Colgate E,1
Product_Title.AXE Smoot.one_Purchased_Title.Smart Wom,1
Product_Title.AXE Smoot.three_Purchased_Title,
Product_Title.AXE Smoot.three_Purchased_Title.Just For ,1
Product_Title.AXE Smoot.three_Purchased_Title.Old Spice,1
Product_Title.AXE Smoot.two_Purchased_Title,
Product_Title.AXE Smoot.two_Purchased_Title.AXE Natur,1
Product_Title.AXE Smoot.two_Purchased_Title.National ,1
Product_Title.AXE Spike,
Product_Title.AXE Spike.one_Purchased_Title,
Product_Title.AXE Spike.one_Purchased_Title.A Blister,1
Product_Title.AXE Spike.one_Purchased_Title.Tide Plus,1
Product_Title.AXE Spike.three_Purchased_Title,
Product_Title.AXE Spike.three_Purchased_Title.Tide Orig,1
Product_Title.AXE Spike.three_Purchased_Title.nan,1
Product_Title.AXE Spike.two_Purchased_Title,
Product_Title.AXE Spike.two_Purchased_Title.Qtips Cot,1
Product_Title.AXE Spike.two_Purchased_Title.ThruHikin,1
Product_Title.AXE Styli,
Product_Title.AXE Styli.one_Purchased_Title,
Product_Title.AXE Styli.one_Purchased_Title.Flybar Ma,1
Product_Title.AXE Styli.three_Purchased_Title,
Product_Title.AXE Styli.three_Purchased_Title.Dunlop 22,1
Product_Title.AXE Styli.two_Purchased_Title,
Product_Title.AXE Styli.two_Purchased_Title.Hosa GPP1,1
Product_Title.AXE White,
Product_Title.AXE White.one_Purchased_Title,
Product_Title.AXE White.one_Purchased_Title.AXE Body ,1
Product_Title.AXE White.one_Purchased_Title.AXE White,1
Product_Title.AXE White.three_Purchased_Title,
Product_Title.AXE White.three_Purchased_Title.AXE Antip,1
Product_Title.AXE White.three_Purchased_Title.Sparkle P,1
Product_Title.AXE White.three_Purchased_Title.ZeroSweat,1
Product_Title.AXE White.three_Purchased_Title.nan,1
Product_Title.AXE White.two_Purchased_Title,
Product_Title.AXE White.two_Purchased_Title.AXE Body ,1
Product_Title.AXE White.two_Purchased_Title.AXE Night,1
Product_Title.AXE White.two_Purchased_Title.Kelloggs ,1
Product_Title.ApotheCAR,
Product_Title.ApotheCAR.one_Purchased_Title,
Product_Title.ApotheCAR.one_Purchased_Title.ApotheCAR,1
Product_Title.ApotheCAR.one_Purchased_Title.Heathers ,1
Product_Title.ApotheCAR.three_Purchased_Title,
Product_Title.ApotheCAR.three_Purchased_Title.ApotheCAR,1
Product_Title.ApotheCAR.three_Purchased_Title.Avalon Or,1
Product_Title.ApotheCAR.three_Purchased_Title.C2G Cable,1
Product_Title.ApotheCAR.three_Purchased_Title.I Was So ,1
Product_Title.ApotheCAR.three_Purchased_Title.Leviton 1,1
Product_Title.ApotheCAR.three_Purchased_Title.Nicorette,1
Product_Title.ApotheCAR.three_Purchased_Title.Renpure V,1
Product_Title.ApotheCAR.three_Purchased_Title.Sassy Flo,1
Product_Title.ApotheCAR.three_Purchased_Title.The Body ,1
Product_Title.ApotheCAR.two_Purchased_Title,
Product_Title.ApotheCAR.two_Purchased_Title.3M Scotch,1
Product_Title.ApotheCAR.two_Purchased_Title.All by My,1
Product_Title.ApotheCAR.two_Purchased_Title.ApotheCAR,1
Product_Title.ApotheCAR.two_Purchased_Title.Just Go t,1
Product_Title.ApotheCAR.two_Purchased_Title.KitchenIQ,1
Product_Title.ApotheCAR.two_Purchased_Title.Look  Loo,1
Product_Title.ApotheCAR.two_Purchased_Title.S & T Alw,1
Product_Title.Axe Anti ,
Product_Title.Axe Anti .one_Purchased_Title,
Product_Title.Axe Anti .one_Purchased_Title.AXE Antip,1
Product_Title.Axe Anti .three_Purchased_Title,
Product_Title.Axe Anti .three_Purchased_Title.AXE Antip,1
Product_Title.Axe Anti .two_Purchased_Title,
Product_Title.Axe Anti .two_Purchased_Title.OralB Gli,1
Product_Title.Axe Antip,
Product_Title.Axe Antip.one_Purchased_Title,
Product_Title.Axe Antip.one_Purchased_Title.Green Egg,1
Product_Title.Axe Antip.three_Purchased_Title,
Product_Title.Axe Antip.three_Purchased_Title.Camco Tas,1
Product_Title.Axe Antip.two_Purchased_Title,
Product_Title.Axe Antip.two_Purchased_Title.Tickle Mo,1
Product_Title.Axe Deodo,
Product_Title.Axe Deodo.one_Purchased_Title,
Product_Title.Axe Deodo.one_Purchased_Title.Bananas  ,1
Product_Title.Axe Deodo.three_Purchased_Title,
Product_Title.Axe Deodo.three_Purchased_Title.UNCLE BEN,1
Product_Title.Axe Deodo.two_Purchased_Title,
Product_Title.Axe Deodo.two_Purchased_Title.Blackberr,1
Product_Title.Axe Dry A,
Product_Title.Axe Dry A.one_Purchased_Title,
Product_Title.Axe Dry A.one_Purchased_Title.Badger Ba,1
Product_Title.Axe Dry A.three_Purchased_Title,
Product_Title.Axe Dry A.three_Purchased_Title.La RocheP,1
Product_Title.Axe Dry A.two_Purchased_Title,
Product_Title.Axe Dry A.two_Purchased_Title.Bumble an,1
Product_Title.Axe Spike,
Product_Title.Axe Spike.one_Purchased_Title,
Product_Title.Axe Spike.one_Purchased_Title.The Compl,1
Product_Title.Axe Spike.three_Purchased_Title,
Product_Title.Axe Spike.three_Purchased_Title.Shoe Dog ,1
Product_Title.Axe Spike.two_Purchased_Title,
Product_Title.Axe Spike.two_Purchased_Title.The Rabbi,1
Product_Title.Bertolli ,
Product_Title.Bertolli .one_Purchased_Title,
Product_Title.Bertolli .one_Purchased_Title.LOreal Pa,1
Product_Title.Bertolli .one_Purchased_Title.POLAND SP,1
Product_Title.Bertolli .three_Purchased_Title,
Product_Title.Bertolli .three_Purchased_Title.Red Raspb,1
Product_Title.Bertolli .three_Purchased_Title.TRESemme ,1
Product_Title.Bertolli .two_Purchased_Title,
Product_Title.Bertolli .two_Purchased_Title.Barilla W,1
Product_Title.Bertolli .two_Purchased_Title.Hood Ultr,1
Product_Title.Best Food,
Product_Title.Best Food.one_Purchased_Title,
Product_Title.Best Food.one_Purchased_Title.Amys Vege,1
Product_Title.Best Food.one_Purchased_Title.Bananas  ,1
Product_Title.Best Food.one_Purchased_Title.Chicken o,1
Product_Title.Best Food.one_Purchased_Title.Heinz Tom,1
Product_Title.Best Food.one_Purchased_Title.Mission  ,1
Product_Title.Best Food.one_Purchased_Title.Organic B,1
Product_Title.Best Food.one_Purchased_Title.Organic G,1
Product_Title.Best Food.one_Purchased_Title.PopSocket,1
Product_Title.Best Food.one_Purchased_Title.RiceSelec,1
Product_Title.Best Food.one_Purchased_Title.StarKist ,1
Product_Title.Best Food.one_Purchased_Title.Strawberr,1
Product_Title.Best Food.three_Purchased_Title,
Product_Title.Best Food.three_Purchased_Title.Amazon Br,1
Product_Title.Best Food.three_Purchased_Title.Amys Orga,1
Product_Title.Best Food.three_Purchased_Title.Bananas  ,1
Product_Title.Best Food.three_Purchased_Title.Dixie Eve,1
Product_Title.Best Food.three_Purchased_Title.Field Roa,1
Product_Title.Best Food.three_Purchased_Title.Fleischma,1
Product_Title.Best Food.three_Purchased_Title.Franz Ext,1
Product_Title.Best Food.three_Purchased_Title.Green See,1
Product_Title.Best Food.three_Purchased_Title.OXO Good ,1
Product_Title.Best Food.three_Purchased_Title.Organic B,1
Product_Title.Best Food.three_Purchased_Title.Oroweat 1,1
Product_Title.Best Food.three_Purchased_Title.Philips S,1
Product_Title.Best Food.three_Purchased_Title.Red Bell ,1
Product_Title.Best Food.three_Purchased_Title.Strawberr,1
Product_Title.Best Food.three_Purchased_Title.nan,1
Product_Title.Best Food.two_Purchased_Title,
Product_Title.Best Food.two_Purchased_Title.80 Lean G,1
Product_Title.Best Food.two_Purchased_Title.Arm & Ham,1
Product_Title.Best Food.two_Purchased_Title.Bananas  ,1
Product_Title.Best Food.two_Purchased_Title.Crest Com,1
Product_Title.Best Food.two_Purchased_Title.Dreyers  ,1
Product_Title.Best Food.two_Purchased_Title.Hass Avoc,1
Product_Title.Best Food.two_Purchased_Title.MorningSt,1
Product_Title.Best Food.two_Purchased_Title.Organic B,1
Product_Title.Best Food.two_Purchased_Title.Red Raspb,1
Product_Title.Best Food.two_Purchased_Title.Ritz Orig,1
Product_Title.Best Food.two_Purchased_Title.StarKist ,1
Product_Title.Best Food.two_Purchased_Title.Strawberr,1
Product_Title.Best Food.two_Purchased_Title.Yellow On,1
Product_Title.Best Food.two_Purchased_Title.nan,1
Product_Title.Bobble Re,
Product_Title.Bobble Re.one_Purchased_Title,
Product_Title.Bobble Re.one_Purchased_Title.I Remembe,1
Product_Title.Bobble Re.one_Purchased_Title.My Dad Ha,1
Product_Title.Bobble Re.three_Purchased_Title,
Product_Title.Bobble Re.three_Purchased_Title.Bissell N,1
Product_Title.Bobble Re.three_Purchased_Title.Harry Pot,1
Product_Title.Bobble Re.two_Purchased_Title,
Product_Title.Bobble Re.two_Purchased_Title.Harry Pot,1
Product_Title.Bobble Re.two_Purchased_Title.Heartburn,1
Product_Title.Breyers B,
Product_Title.Breyers B.one_Purchased_Title,
Product_Title.Breyers B.one_Purchased_Title.Bananas  ,1
Product_Title.Breyers B.three_Purchased_Title,
Product_Title.Breyers B.three_Purchased_Title.Breyers O,1
Product_Title.Breyers B.three_Purchased_Title.Hass Avoc,1
Product_Title.Breyers B.three_Purchased_Title.Sliced Wh,1
Product_Title.Breyers B.two_Purchased_Title,
Product_Title.Breyers B.two_Purchased_Title.Strawberr,1
Product_Title.Breyers C,
Product_Title.Breyers C.one_Purchased_Title,
Product_Title.Breyers C.one_Purchased_Title.Strawberr,1
Product_Title.Breyers C.three_Purchased_Title,
Product_Title.Breyers C.three_Purchased_Title.Russet Po,1
Product_Title.Breyers C.two_Purchased_Title,
Product_Title.Breyers C.two_Purchased_Title.Breyers C,1
Product_Title.Caress  B,
Product_Title.Caress  B.one_Purchased_Title,
Product_Title.Caress  B.one_Purchased_Title.Luvs Ultr,1
Product_Title.Caress  B.three_Purchased_Title,
Product_Title.Caress  B.three_Purchased_Title.Bell Spor,1
Product_Title.Caress  B.two_Purchased_Title,
Product_Title.Caress  B.two_Purchased_Title.Attached ,1
Product_Title.Caress Be,
Product_Title.Caress Be.one_Purchased_Title,
Product_Title.Caress Be.one_Purchased_Title.Dove go f,1
Product_Title.Caress Be.three_Purchased_Title,
Product_Title.Caress Be.three_Purchased_Title.Dove Pure,1
Product_Title.Caress Be.two_Purchased_Title,
Product_Title.Caress Be.two_Purchased_Title.Glad Tall,1
Product_Title.Caress Bo,
Product_Title.Caress Bo.one_Purchased_Title,
Product_Title.Caress Bo.one_Purchased_Title.Caress Bo,1
Product_Title.Caress Bo.one_Purchased_Title.Jergens U,1
Product_Title.Caress Bo.one_Purchased_Title.Qtips Cot,1
Product_Title.Caress Bo.three_Purchased_Title,
Product_Title.Caress Bo.three_Purchased_Title.Bragg Org,1
Product_Title.Caress Bo.three_Purchased_Title.Clorox Di,1
Product_Title.Caress Bo.three_Purchased_Title.Febreze U,1
Product_Title.Caress Bo.three_Purchased_Title.Sparkle P,1
Product_Title.Caress Bo.two_Purchased_Title,
Product_Title.Caress Bo.two_Purchased_Title.Neutrogen,1
Product_Title.Caress Bo.two_Purchased_Title.Quilted N,1
Product_Title.Caress Ex,
Product_Title.Caress Ex.one_Purchased_Title,
Product_Title.Caress Ex.one_Purchased_Title.Intervet ,1
Product_Title.Caress Ex.one_Purchased_Title.Moving to,1
Product_Title.Caress Ex.one_Purchased_Title.Pepsi Zer,1
Product_Title.Caress Ex.three_Purchased_Title,
Product_Title.Caress Ex.three_Purchased_Title.Birds Of ,1
Product_Title.Caress Ex.three_Purchased_Title.Divide,1
Product_Title.Caress Ex.three_Purchased_Title.Motts Med,1
Product_Title.Caress Ex.two_Purchased_Title,
Product_Title.Caress Ex.two_Purchased_Title.Banana Ro,1
Product_Title.Caress Ex.two_Purchased_Title.Floridas ,1
Product_Title.Caress Ex.two_Purchased_Title.Nature Ma,1
Product_Title.Clear Con,
Product_Title.Clear Con.one_Purchased_Title,
Product_Title.Clear Con.one_Purchased_Title.Buitoni  ,1
Product_Title.Clear Con.one_Purchased_Title.Clear Sha,1
Product_Title.Clear Con.one_Purchased_Title.Furiously,1
Product_Title.Clear Con.three_Purchased_Title,
Product_Title.Clear Con.three_Purchased_Title.Energizer,1
Product_Title.Clear Con.three_Purchased_Title.Fruit of ,1
Product_Title.Clear Con.three_Purchased_Title.Taro Clot,1
Product_Title.Clear Con.two_Purchased_Title,
Product_Title.Clear Con.two_Purchased_Title.Energizer,1
Product_Title.Clear Con.two_Purchased_Title.Petmate H,1
Product_Title.Clear Con.two_Purchased_Title.Physician,1
Product_Title.Clear Sca,
Product_Title.Clear Sca.one_Purchased_Title,
Product_Title.Clear Sca.one_Purchased_Title.Clear Sha,1
Product_Title.Clear Sca.three_Purchased_Title,
Product_Title.Clear Sca.three_Purchased_Title.Sahale Ca,1
Product_Title.Clear Sca.two_Purchased_Title,
Product_Title.Clear Sca.two_Purchased_Title.Sahale Al,1
Product_Title.Clear Sha,
Product_Title.Clear Sha.one_Purchased_Title,
Product_Title.Clear Sha.one_Purchased_Title.Cinnamon ,1
Product_Title.Clear Sha.one_Purchased_Title.Clear Sca,1
Product_Title.Clear Sha.one_Purchased_Title.Qtips Cot,1
Product_Title.Clear Sha.one_Purchased_Title.St Ives A,1
Product_Title.Clear Sha.three_Purchased_Title,
Product_Title.Clear Sha.three_Purchased_Title.Aveeno Pr,1
Product_Title.Clear Sha.three_Purchased_Title.Ferrero N,1
Product_Title.Clear Sha.three_Purchased_Title.Manwich O,1
Product_Title.Clear Sha.three_Purchased_Title.Slim Jim ,1
Product_Title.Clear Sha.two_Purchased_Title,
Product_Title.Clear Sha.two_Purchased_Title.Aztec Sec,1
Product_Title.Clear Sha.two_Purchased_Title.Clear Sha,1
Product_Title.Clear Sha.two_Purchased_Title.Seventh G,1
Product_Title.Country C,
Product_Title.Country C.one_Purchased_Title,
Product_Title.Country C.one_Purchased_Title.Bananas  ,1
Product_Title.Country C.three_Purchased_Title,
Product_Title.Country C.three_Purchased_Title.Amazon Br,1
Product_Title.Country C.three_Purchased_Title.Cucumber ,1
Product_Title.Country C.two_Purchased_Title,
Product_Title.Country C.two_Purchased_Title.Strawberr,1
Product_Title.Degree Da,
Product_Title.Degree Da.one_Purchased_Title,
Product_Title.Degree Da.one_Purchased_Title.Suave  An,1
Product_Title.Degree Da.three_Purchased_Title,
Product_Title.Degree Da.three_Purchased_Title.Spasilk W,1
Product_Title.Degree Da.two_Purchased_Title,
Product_Title.Degree Da.two_Purchased_Title.In the Br,1
Product_Title.Degree De,
Product_Title.Degree De.one_Purchased_Title,
Product_Title.Degree De.one_Purchased_Title.OralB Com,1
Product_Title.Degree De.one_Purchased_Title.Sudden Ch,1
Product_Title.Degree De.three_Purchased_Title,
Product_Title.Degree De.three_Purchased_Title.America B,1
Product_Title.Degree De.three_Purchased_Title.Sensodyne,1
Product_Title.Degree De.two_Purchased_Title,
Product_Title.Degree De.two_Purchased_Title.Kodak 410,1
Product_Title.Degree De.two_Purchased_Title.Sally Han,1
Product_Title.Degree Dr,
Product_Title.Degree Dr.one_Purchased_Title,
Product_Title.Degree Dr.one_Purchased_Title.Angel Sof,1
Product_Title.Degree Dr.one_Purchased_Title.Aztec Sec,1
Product_Title.Degree Dr.one_Purchased_Title.Degree Dr,1
Product_Title.Degree Dr.one_Purchased_Title.Degree Me,1
Product_Title.Degree Dr.one_Purchased_Title.Dole Frui,1
Product_Title.Degree Dr.one_Purchased_Title.Duracell ,1
Product_Title.Degree Dr.one_Purchased_Title.First Aid,1
Product_Title.Degree Dr.one_Purchased_Title.Last Week,1
Product_Title.Degree Dr.one_Purchased_Title.Oasis sup,1
Product_Title.Degree Dr.one_Purchased_Title.Suave  Sw,1
Product_Title.Degree Dr.one_Purchased_Title.blinc Las,1
Product_Title.Degree Dr.three_Purchased_Title,
Product_Title.Degree Dr.three_Purchased_Title.AmeriColo,1
Product_Title.Degree Dr.three_Purchased_Title.Are You M,1
